SWEEP -- live, appended as each combination finishes
started 01:25:02 AM ET

  gate   tau  ceil  edge |  buys closes | loss%  | med px |  c/buy  |    total
  0.980   30    90c  0.3c |    52     41 | 34.62% |  81.0c |  -8.08c |    -4.20
  0.980   30    90c  1.0c |    52     41 | 34.62% |  81.0c |  -8.08c |    -4.20
  0.980   30    90c  3.0c |    52     41 | 34.62% |  81.0c |  -8.08c |    -4.20
  0.980   30    95c  0.3c |   117     89 | 16.24% |  91.9c |  -2.58c |    -3.02
  0.980   30    95c  1.0c |   117     89 | 16.24% |  91.9c |  -2.58c |    -3.02
  0.980   30    95c  3.0c |   115     87 | 16.52% |  91.9c |  -2.71c |    -3.11
  0.980   30    97c  0.3c |   182    122 | 10.44% |  94.7c |  -0.90c |    -1.64
  0.980   30    97c  1.0c |   180    122 | 10.56% |  94.5c |  -0.90c |    -1.62
  0.980   30    97c  3.0c |   136    102 | 13.97% |  93.4c |  -1.85c |    -2.52
  0.980   30    98c  0.3c |   273    156 |  6.96% |  96.6c |  -0.72c |    -1.97
  0.980   30    98c  1.0c |   263    151 |  7.22% |  96.4c |  -0.77c |    -2.03
  0.980   30    98c  3.0c |   136    102 | 13.97% |  93.4c |  -1.85c |    -2.52
  0.980   40    90c  0.3c |    77     57 | 29.87% |  81.0c |  -3.96c |    -3.05
  0.980   40    90c  1.0c |    77     57 | 29.87% |  81.0c |  -3.96c |    -3.05
  0.980   40    90c  3.0c |    77     57 | 29.87% |  81.0c |  -3.96c |    -3.05
  0.980   40    95c  0.3c |   172    119 | 14.53% |  92.0c |  -2.17c |    -3.73
  0.980   40    95c  1.0c |   172    119 | 14.53% |  92.0c |  -2.17c |    -3.73
  0.980   40    95c  3.0c |   170    117 | 14.71% |  92.0c |  -2.24c |    -3.80
  0.980   40    97c  0.3c |   285    160 |  8.77% |  94.9c |  -0.46c |    -1.32
  0.980   40    97c  1.0c |   282    159 |  8.87% |  94.8c |  -0.47c |    -1.33
  0.980   40    97c  3.0c |   211    132 | 11.85% |  93.6c |  -1.30c |    -2.74
  0.980   40    98c  0.3c |   414    185 |  6.04% |  96.5c |  -0.32c |    -1.34
  0.980   40    98c  1.0c |   393    183 |  6.36% |  96.3c |  -0.42c |    -1.65
  0.980   40    98c  3.0c |   211    132 | 11.85% |  93.6c |  -1.30c |    -2.74
  0.980   50    90c  0.3c |   110     77 | 25.45% |  82.0c |  -1.04c |    -1.15
  0.980   50    90c  1.0c |   110     77 | 25.45% |  82.0c |  -1.04c |    -1.15
  0.980   50    90c  3.0c |   110     77 | 25.45% |  82.0c |  -1.04c |    -1.15
  0.980   50    95c  0.3c |   248    150 | 12.10% |  92.4c |  +0.16c |    +0.39
  0.980   50    95c  1.0c |   248    150 | 12.10% |  92.4c |  +0.16c |    +0.39
  0.980   50    95c  3.0c |   245    147 | 12.24% |  92.3c |  +0.11c |    +0.27
  0.980   50    97c  0.3c |   392    188 |  7.65% |  94.9c |  +0.31c |    +1.22
  0.980   50    97c  1.0c |   389    188 |  7.71% |  94.9c |  +0.31c |    +1.21
  0.980   50    97c  3.0c |   285    158 | 10.53% |  93.3c |  -0.03c |    -0.09
  0.980   50    98c  0.3c |   574    223 |  5.23% |  96.6c |  +0.50c |    +2.85
  0.980   50    98c  1.0c |   543    218 |  5.52% |  96.3c |  +0.44c |    +2.40
  0.980   50    98c  3.0c |   285    158 | 10.53% |  93.3c |  -0.03c |    -0.09
  0.980   55    90c  0.3c |   125     83 | 24.80% |  82.0c |  -0.35c |    -0.44
  0.980   55    90c  1.0c |   125     83 | 24.80% |  82.0c |  -0.35c |    -0.44
